code,population016,population_density_per_square_kilometre,land_area_in_square_kilometres,housing_apartment_in_a_building_that_has_five_or_more_storeys,housing_apartment_in_a_building_that_has_fewer_than_five_storeys,housing_apartment_or_flat_in_a_duplex,housing_semi_detached_house,housing_other_single_attached_house,housing_single_detached_house,housing_row_house,housing_movable_dwelling,x1960_or_before,x1961_to_1980,x1981_to_1990,x1991_to000,x2001_to005,x2006_to010,x2011_to016,average_household_size,persons_living_alone_per_cent,prevalence_of_low_income_based_on_the_low_income_measure_after_tax_lim_at_percent,in_the_bottom_decile,in_the_second_decile,in_the_third_decile,in_the_fourth_decile,in_the_fifth_decile,in_the_sixth_decile,in_the_seventh_decile,in_the_eighth_decile,in_the_ninth_decile,in_the_top_decile,vm_chinese,vm_south_asian,vm_black,vm_latin_american,vm_filipino,vm_arab,vm_southeast_asian,vm_west_asian,vm_korean,vm_japanese,vm_visible_minority_n_i_e,vm_multiple_visible_minorities,vm_not_a_visible_minority,vm_min_total
24,21737,6282,3.46,0.5541922290388548,0.08588957055214724,0.021131561008861623,0.08997955010224949,6.816632583503749e-4,0.09270620313565099,0.1554192229038855,0,0.17076502732240437,0.6612021857923497,0.09289617486338798,0.060792349726775954,0.0047814207650273225,0.001366120218579235,0.00819672131147541,2.94,9.8,33,0.21670533642691414,0.21786542923433874,0.16218097447795823,0.11809744779582367,0.08863109048723898,0.07354988399071925,0.05266821345707657,0.03944315545243619,0.02459396751740139,0.0062645011600928075,0.03544949026876738,0.09777571825764597,0.29263206672845227,0.082483781278962,0.042632066728452274,0.03266913809082484,0.12025023169601483,0.028730305838739572,0.0018535681186283596,0.0013901760889712697,0.036376274328081555,0.0366079703429101,0.19114921223354958,0.8088507877664504
69,7727,8134,0.95,0.1501597444089457,0.2539936102236422,0.054313099041533544,0.26038338658146964,0.004792332268370607,0.15814696485623003,0.1182108626198083,0,0.7051282051282052,0.20032051282051283,0.046474358974358976,0.022435897435897436,0.014423076923076924,0.008012820512820512,0.003205128205128205,2.46,15.4,24.5,0.177734375,0.13020833333333334,0.08528645833333333,0.0703125,0.06640625,0.061848958333333336,0.06380208333333333,0.08854166666666667,0.10481770833333333,0.15104166666666666,0.1235370611183355,0.05786736020806242,0.1235370611183355,0.010403120936280884,0.007152145643693108,0.005851755526657998,0.011703511053315995,0.0188556566970091,0.0019505851755526658,0.004551365409622887,0.0091027308192457735,0.011053315994798439,0.6144343302990898,0.3855656697009103
108,14257,7791,1.83,0.4183406113537118,0.19213973799126638,0.06724890829694323,0.027074235807860263,8.733624454148472e-4,0.2812227074235808,0.013100436681222707,0,0.4031413612565445,0.4214659685863874,0.07329842931937172,0.05410122164048865,0.031413612565445025,0.014834205933682374,0.0017452006980802793,2.48,14,17,0.12548330404217925,0.12091388400702988,0.12442882249560633,0.12407732864674868,0.118804920913884,0.09560632688927943,0.08892794376098419,0.0843585237258348,0.07275922671353251,0.044639718804920916,0.018303414290742698,0.028863076381555792,0.08236536430834214,0.06476592749032031,0.21365716297078494,0.0031678986272439284,0.01196761703625484,0.0028159098908834917,0.009151707145371349,0.004927842309046111,0.008447729672650475,0.008799718409010912,0.542766631467793,0.457233368532207
41,9266,1040,8.91,0.18181818181818182,0.02465331278890601,0.009244992295839754,0.012326656394453005,0,0.7010785824345146,0.07087827426810478,0,0.2682170542635659,0.11627906976744186,0.06821705426356589,0.12403100775193798,0.09767441860465116,0.18604651162790697,0.13953488372093023,2.83,8,8.8,0.07566684812193794,0.031028851388132824,0.0326619488296135,0.02939575394665215,0.027218290691344585,0.0261295590636908,0.03592814371257485,0.04735982580293958,0.08655416439847577,0.608056614044638,0.1532608695652174,0.04076086956521739,0.0125,0.007065217391304348,0.005434782608695652,0.004347826086956522,0.004891304347826087,0.035326086956521736,0.02010869565217391,0.005978260869565218,0.0010869565217391304,0.011956521739130435,0.6972826086956522,0.3027173913043478
57,11499,6764,1.7,0.5874558303886925,0.1439929328621908,0.026501766784452298,0.07773851590106007,0,0.1501766784452297,0.014134275618374558,0,0.40760389036251105,0.4261715296198055,0.05747126436781609,0.04862953138815208,0.015030946065428824,0.036251105216622455,0.008841732979664015,2,24.7,22.6,0.15591872791519434,0.1351590106007067,0.11219081272084806,0.09408127208480566,0.08171378091872791,0.08613074204946997,0.0799469964664311,0.071113074204947,0.07950530035335689,0.10424028268551237,0.04148278905560459,0.05560458958517211,0.0498676081200353,0.02206531332744925,0.0441306266548985,0.011032656663724626,0.007502206531332745,0.01235657546337158,0.00617828773168579,0.00617828773168579,0.00706090026478376,0.012797881729920565,0.7237422771403353,0.2762577228596646
30,17757,5045,3.52,0.5783783783783784,0.0833976833976834,0.02084942084942085,0.037065637065637064,0,0.27644787644787644,0.003861003861003861,0,0.2996918335901387,0.41602465331278893,0.08012326656394453,0.09322033898305085,0.05855161787365177,0.03466872110939907,0.017719568567026195,2.73,10.8,24.7,0.165489974583451,0.16520756848347926,0.15136966958486303,0.1203049985879695,0.09714769839028523,0.0855690482914431,0.07737927139226207,0.061564529793843546,0.04913866139508613,0.02682857949731714,0.025423728813559324,0.0672316384180791,0.26949152542372884,0.10621468926553672,0.07062146892655367,0.002824858757062147,0.06186440677966102,0.007344632768361582,0.002824858757062147,5.649717514124294e-4,0.016666666666666666,0.025706214689265535,0.3432203389830508,0.6567796610169492
71,11669,8335,1.4,0.5236617532971296,0.25446082234290146,0.02482544608223429,0.07137315748642359,0.0031031807602792862,0.02482544608223429,0.09775019394879751,0,0.4174454828660436,0.2749221183800623,0.18925233644859812,0.03894080996884735,0.03894080996884735,0.035046728971962614,0.005451713395638629,1.71,32.5,20.8,0.16727272727272727,0.10272727272727272,0.07,0.06863636363636363,0.06863636363636363,0.06909090909090909,0.07772727272727273,0.07363636363636364,0.10136363636363636,0.2009090909090909,0.06563354603463993,0.047857793983591614,0.04649042844120328,0.023701002734731084,0.04421148587055606,0.010027347310847767,0.011394712853236098,0.004557885141294439,0.008659981768459436,0.0031905195989061076,0.009115770282588878,0.01276207839562443,0.7123974475843209,0.2876025524156791
109,9955,6464,1.54,0.04483695652173913,0.2554347826086957,0.11956521739130435,0.11820652173913043,0,0.45652173913043476,0.005434782608695652,0,0.5910326086956522,0.24320652173913043,0.04619565217391304,0.06385869565217392,0.028532608695652172,0.014945652173913044,0.012228260869565218,2.69,9.8,14.2,0.10443995963673057,0.1104944500504541,0.11503531786074672,0.12008072653884964,0.12108980827447023,0.10595358224016145,0.11453077699293643,0.09233097880928355,0.08425832492431887,0.031786074672048435,0.023725391216557295,0.023220595658758204,0.08682483594144372,0.08329126703685008,0.08985360928823827,0,0.016153457849570924,0.0010095911155981827,0.003028773346794548,0.0010095911155981827,0.01514386673397274,0.01867743563856638,0.6380615850580514,0.3619384149419485
96,10968,5683,1.93,0.4962962962962963,0.22685185185185186,0.028703703703703703,0.049074074074074076,0,0.16203703703703703,0.037037037037037035,0,0.5194085027726433,0.27634011090573013,0.05545286506469501,0.03789279112754159,0.011090573012939002,0.05268022181146026,0.04713493530499076,2,23.7,12.5,0.10055607043558851,0.0639481000926784,0.0505097312326228,0.04772937905468026,0.051899907321594066,0.04911955514365153,0.06719184430027804,0.06997219647822057,0.10009267840593142,0.3989805375347544,0.0384967919340055,0.03299725022914757,0.025664527956003668,0.020623281393217233,0.007791017415215398,0.005957836846929423,0.005041246562786435,0.005957836846929423,0.01008249312557287,0.007332722273143905,0.0036663611365719525,0.00916590284142988,0.8272227314390468,0.17277726856095327
133,13362,2479,5.39,0,0.013729977116704805,0.034324942791762014,0.036613272311212815,0,0.8032036613272311,0.11098398169336385,0.0011441647597254005,0.0684931506849315,0.4429223744292237,0.13926940639269406,0.2054794520547945,0.04337899543378995,0.07648401826484018,0.023972602739726026,3.05,4.5,6.2,0.04530138524897042,0.04679895170348184,0.053538000748783225,0.06214900786222389,0.07375514788468739,0.0950954698614751,0.1216772744290528,0.14002246349681768,0.16922500935979035,0.19243728940471733,0.053163609135155374,0.18532384874578808,0.07076001497566455,0.008611007113440658,0.058779483339573196,0.013103706476974916,0.0041183077499064025,0.007487832272557095,0.002995132909022838,0.00636465743167353,0.008611007113440658,0.017222014226881317,0.5634593785099213,0.4365406214900786
